2025-10-27 12:01:51 | INFO     | bot.services.scheduler_service:_send_hourly_reminders:194 - [reminder] отправлено 5620228351
2025-10-27 12:02:51 | INFO     | bot.services.scheduler_service:_send_hourly_reminders:194 - [reminder] отправлено 5620228351
2025-10-27 12:02:55 | INFO     | bot.middlewares.middlewares:__call__:236 - [AdminCheck] tg_id=5620228351 | is_admin=False | env_admin=False | db_admin=False | ADMIN_IDS=[436680563]
2025-10-27 12:02:55 | ERROR    | bot.database.connection:session:54 - Ошибка в сессии БД: unsupported operand type(s) for /: 'str' and 'int'
2025-10-27 12:03:07 | INFO     | bot.middlewares.middlewares:__call__:236 - [AdminCheck] tg_id=5620228351 | is_admin=False | env_admin=False | db_admin=False | ADMIN_IDS=[436680563]
2025-10-27 12:03:07 | ERROR    | bot.database.connection:session:54 - Ошибка в сессии БД: unsupported operand type(s) for /: 'str' and 'int'
2025-10-27 12:03:32 | INFO     | bot.middlewares.middlewares:__call__:236 - [AdminCheck] tg_id=5620228351 | is_admin=False | env_admin=False | db_admin=False | ADMIN_IDS=[436680563]
2025-10-27 12:03:32 | ERROR    | bot.database.connection:session:54 - Ошибка в сессии БД: unsupported operand type(s) for /: 'str' and 'int'
2025-10-27 12:03:44 | INFO     | bot.middlewares.middlewares:__call__:236 - [AdminCheck] tg_id=5620228351 | is_admin=False | env_admin=False | db_admin=False | ADMIN_IDS=[436680563]
2025-10-27 12:03:44 | ERROR    | bot.database.connection:session:54 - Ошибка в сессии БД: unsupported operand type(s) for /: 'str' and 'int'
2025-10-27 12:03:51 | INFO     | bot.services.scheduler_service:_send_hourly_reminders:194 - [reminder] отправлено 5620228351
2025-10-27 12:03:55 | INFO     | bot.middlewares.middlewares:__call__:236 - [AdminCheck] tg_id=5620228351 | is_admin=False | env_admin=False | db_admin=False | ADMIN_IDS=[436680563]
2025-10-27 12:03:55 | ERROR    | bot.database.connection:session:54 - Ошибка в сессии БД: unsupported operand type(s) for /: 'str' and 'int'
2025-10-27 12:03:57 | INFO     | bot.middlewares.middlewares:__call__:236 - [AdminCheck] tg_id=5620228351 | is_admin=False | env_admin=False | db_admin=False | ADMIN_IDS=[436680563]
2025-10-27 12:03:57 | ERROR    | bot.database.connection:session:54 - Ошибка в сессии БД: unsupported operand type(s) for /: 'str' and 'int'
2025-10-27 12:04:51 | INFO     | bot.services.scheduler_service:_send_hourly_reminders:194 - [reminder] отправлено 5620228351
2025-10-27 12:05:51 | INFO     | bot.services.scheduler_service:_send_hourly_reminders:194 - [reminder] отправлено 5620228351
